kernel,distribution,n,m,group_start,group_count,operand_a_seed,operand_b_seed
dot,uniform_0_1,4194304,1,3705,95,4761735534106931522,15716556056999293423
dot,uniform_0_1,4194304,1,3800,95,16066844959032450726,377191720805252984
dot,uniform_0_1,4194304,1,3895,95,4079606163160362523,190965975707575830
dot,uniform_0_1,4194304,1,3990,95,5044190534241499762,11987343022446755591
dot,uniform_0_1,4194304,1,4085,95,2356896687858332826,18011581816822066398
dot,uniform_0_1,4194304,1,4180,95,678435581287285120,9933081937200575296
dot,uniform_0_1,4194304,1,4275,95,10809482764385848086,2087518236110339960
dot,uniform_0_1,4194304,1,4370,95,18321599140539024564,3745745408608189222
dot,uniform_0_1,4194304,1,4465,95,11318805706891674000,13433612542606895450
dot,uniform_0_1,4194304,1,4560,95,5280155283465156835,13128280185596642027
dot,uniform_0_1,4194304,1,4655,95,16316612517832313683,5183152940187650640
dot,uniform_0_1,4194304,1,4750,95,11907020200459396284,17908459773729342240
dot,uniform_0_1,4194304,1,4845,95,10716352166206807570,4734711123883607212
dot,uniform_0_1,4194304,1,4940,95,972348742661089373,3944657552748703160
dot,uniform_0_1,4194304,1,5035,95,8680381553741291885,14259050560334653927
dot,uniform_0_1,4194304,1,5130,95,13097056887140906313,5605564804383921382
dot,uniform_0_1,4194304,1,5225,95,16169445261757756595,9258476537702114213
dot,uniform_0_1,4194304,1,5320,95,5678431900331517288,818566782330484070
dot,uniform_0_1,4194304,1,5415,95,15543566325711568958,15511708462394840969
dot,uniform_0_1,4194304,1,5510,95,14868226948140761397,4201152191318663714
dot,uniform_0_1,4194304,1,5605,95,5375883377064491263,993485863766275154
dot,uniform_0_1,4194304,1,5700,95,9344962769334727802,1702581826604270647
dot,uniform_0_1,4194304,1,5795,95,2692354421843591666,1708636261253795774
dot,uniform_0_1,4194304,1,5890,95,16622057387139607900,11347190155181177010
dot,uniform_0_1,4194304,1,5985,95,9541832052093351201,18163451269705183432
dot,uniform_0_1,4194304,1,6080,95,7659494789121143389,5528027577858967970
dot,uniform_0_1,4194304,1,6175,95,14154980514404854009,7283594421170979150
dot,uniform_0_1,4194304,1,6270,95,8394347502788576204,6701317100438753585
dot,uniform_0_1,4194304,1,6365,95,16671249406687210087,15089767895921706124
dot,uniform_0_1,4194304,1,6460,95,6050771152732192213,11619638456804117653
dot,uniform_0_1,4194304,1,6555,95,10782635615321532715,18445713789083088065
dot,uniform_0_1,4194304,1,6650,95,7813247478259971041,8402736806682165266
dot,uniform_0_1,4194304,1,6745,95,1817319559738971671,17080449586968240224
dot,uniform_0_1,4194304,1,6840,95,8025489684114805557,11442965213043717781
dot,uniform_0_1,4194304,1,6935,95,6883798439561271824,11638423945355850953
dot,uniform_0_1,4194304,1,7030,95,2694635089094788749,14400288641497736233
dot,uniform_0_1,4194304,1,7125,95,15797228695356310250,1429082011093881931
dot,uniform_0_1,4194304,1,7220,95,17879521729742499380,8734720115446173107
dot,uniform_0_1,4194304,1,7315,95,648027304964301918,4426739580461060018
dot,uniform_0_1,4194304,1,7410,95,13682740206395797290,16252788302247668902
dot,uniform_0_1,4194304,1,7505,95,12985510871295792088,3057665143503389961
dot,uniform_0_1,4194304,1,7600,95,7990286207105348972,18280266671495732453
dot,uniform_0_1,4194304,1,7695,95,17810167573652787832,8449659189096926631
dot,uniform_0_1,4194304,1,7790,95,16500721835956643108,15026127722089858559
dot,uniform_0_1,4194304,1,7885,95,747527194556811104,16220850346631474727
dot,uniform_0_1,4194304,1,7980,95,13746459575819457708,2635019503768624306
dot,uniform_0_1,4194304,1,8075,95,5346741276353604122,10231956945449410968
dot,uniform_0_1,4194304,1,8170,22,1064473423754601511,9817506751546962756
dot,normal_0_1,1024,1,0,8192,1373122198328914405,8804755320421412719
dot,normal_0_1,16384,1,0,8192,774152136416655309,319540442929212447
dot,normal_0_1,262144,1,0,1532,13926456917166502370,9012046390819080772
dot,normal_0_1,262144,1,1532,1532,6082772793448318470,16438347425099015473
dot,normal_0_1,262144,1,3064,1532,10265601331334368776,5346817620456728588
dot,normal_0_1,262144,1,4596,1532,11756600625202599108,1109148226213508140
dot,normal_0_1,262144,1,6128,1532,17340138635938688450,1527225694531821208
dot,normal_0_1,262144,1,7660,532,6233363916691677531,6324068349837383599
dot,normal_0_1,4194304,1,0,95,14322063801931605167,13012631108063259768
dot,normal_0_1,4194304,1,95,95,10618410228353257487,15084367130011748012
dot,normal_0_1,4194304,1,190,95,17809436860791505739,3935422288980562092
dot,normal_0_1,4194304,1,285,95,16428501756157937086,4867916878634348204
dot,normal_0_1,4194304,1,380,95,6952438212014333602,7857090446645993589
dot,normal_0_1,4194304,1,475,95,12664097603417135049,8426126484085412769
dot,normal_0_1,4194304,1,570,95,1984718402495331760,229575539425796076
dot,normal_0_1,4194304,1,665,95,18362448125759938317,11473645740309361460
dot,normal_0_1,4194304,1,760,95,12810835629103999061,16868348095584180138
dot,normal_0_1,4194304,1,855,95,14877051057060962794,2020314272065220419
dot,normal_0_1,4194304,1,950,95,207402989233650237,12568474434921384773
dot,normal_0_1,4194304,1,1045,95,15399768757019980061,12277906968606467036
dot,normal_0_1,4194304,1,1140,95,5789829755525448463,14032228661363971028
dot,normal_0_1,4194304,1,1235,95,13732975025541913207,2668716020042826497
dot,normal_0_1,4194304,1,1330,95,3416666988623406118,3263964653551725964
dot,normal_0_1,4194304,1,1425,95,16172278854670220178,7152042812762374080
dot,normal_0_1,4194304,1,1520,95,9273344437105857557,9587045182995553987
dot,normal_0_1,4194304,1,1615,95,17078808519394670583,402382400068284105
dot,normal_0_1,4194304,1,1710,95,14307859193862788889,12965691205490320166
dot,normal_0_1,4194304,1,1805,95,2928649929310601661,12489608628881618182
dot,normal_0_1,4194304,1,1900,95,17481009311523769954,833782620716366096
dot,normal_0_1,4194304,1,1995,95,5445316764480822864,389923334558925061
dot,normal_0_1,4194304,1,2090,95,1561003541284344580,16974995931322453473
dot,normal_0_1,4194304,1,2185,95,363896871211851471,9822953530476865635
dot,normal_0_1,4194304,1,2280,95,14904699847278834600,5792187518813737786
dot,normal_0_1,4194304,1,2375,95,1426059388387674986,14026691418124424667
dot,normal_0_1,4194304,1,2470,95,5882291695157513185,4096001318953513173
dot,normal_0_1,4194304,1,2565,95,5260861555280540259,3619178174789504429
dot,normal_0_1,4194304,1,2660,95,7550548833844173161,8825856337725825541
dot,normal_0_1,4194304,1,2755,95,244562749812331633,18187205715013193040
dot,normal_0_1,4194304,1,2850,95,8426270463987193797,595942520003591370
dot,normal_0_1,4194304,1,2945,95,15136539506770453605,4791030750901097913
dot,normal_0_1,4194304,1,3040,95,17058584054585000265,7818037507491633543
dot,normal_0_1,4194304,1,3135,95,11902503036458112193,15336099885823769456
dot,normal_0_1,4194304,1,3230,95,9395236270755862440,9804655753525551341
dot,normal_0_1,4194304,1,3325,95,7939814477378884934,16248684041057254955
dot,normal_0_1,4194304,1,3420,95,18190251131817869597,11415052965769870146
dot,normal_0_1,4194304,1,3515,95,12635945769496587951,11273006681530997702
dot,normal_0_1,4194304,1,3610,95,12780443203062810310,6852364586419647988
dot,normal_0_1,4194304,1,3705,95,770432270601862837,1919270027858166011
dot,normal_0_1,4194304,1,3800,95,10280392220741954998,4351466426290888541
dot,normal_0_1,4194304,1,3895,95,12772252341880192354,6325987154360448721
dot,normal_0_1,4194304,1,3990,95,2049473259216204924,5805565691612614527
dot,normal_0_1,4194304,1,4085,95,4358029824670187570,6960204973555331488
dot,normal_0_1,4194304,1,4180,95,11231266747104118018,2703887807973451288
dot,normal_0_1,4194304,1,4275,95,13680766079243436309,17094737354138875254
dot,normal_0_1,4194304,1,4370,95,3299329223664572425,17320686421890913205
dot,normal_0_1,4194304,1,4465,95,6254508959593991690,17781412766129358572
dot,normal_0_1,4194304,1,4560,95,1209352317586581899,12726016509432505717
dot,normal_0_1,4194304,1,4655,95,5938225118857008502,4952632721542570823
dot,normal_0_1,4194304,1,4750,95,6710789647887145496,8975850254925443771
dot,normal_0_1,4194304,1,4845,95,11159632699232313547,1655721963895938272
dot,normal_0_1,4194304,1,4940,95,8796867975667448401,12150910115908144275
dot,normal_0_1,4194304,1,5035,95,10089106935733449773,5956810032618372817
dot,normal_0_1,4194304,1,5130,95,17474698263264117890,7368849282379048724
dot,normal_0_1,4194304,1,5225,95,16403308185386117708,17743237546137670961
dot,normal_0_1,4194304,1,5320,95,883623174298960125,4997467802947093268
dot,normal_0_1,4194304,1,5415,95,8132192521012156720,10300416579688169301
dot,normal_0_1,4194304,1,5510,95,11308028412040413709,9658492807479126990
dot,normal_0_1,4194304,1,5605,95,479198906565055565,3017895408560707034
dot,normal_0_1,4194304,1,5700,95,7166223511700718681,7842506711355032858
dot,normal_0_1,4194304,1,5795,95,13360371679429208980,14391826933014443868
dot,normal_0_1,4194304,1,5890,95,12563575150599781354,14691231275230295876
dot,normal_0_1,4194304,1,5985,95,14347578739672587701,958101352043444780
dot,normal_0_1,4194304,1,6080,95,11222517342466547051,8692241767378849929
dot,normal_0_1,4194304,1,6175,95,9856964914455267690,18159532383724909238
dot,normal_0_1,4194304,1,6270,95,13482598227671243730,10702103543544382971
dot,normal_0_1,4194304,1,6365,95,3389964547869764918,15724053894458442884
dot,normal_0_1,4194304,1,6460,95,656824034052955697,1356701583929040056
dot,normal_0_1,4194304,1,6555,95,12078237686958870565,2693879171625661216
dot,normal_0_1,4194304,1,6650,95,3522545377583681308,2451816959825538741
dot,normal_0_1,4194304,1,6745,95,13862559387536765938,16383303964636269007
dot,normal_0_1,4194304,1,6840,95,4938818923255625067,2440100674908916588
dot,normal_0_1,4194304,1,6935,95,8472919211391125393,2565876307814558129
dot,normal_0_1,4194304,1,7030,95,4899922802629460111,5265670475933903731
dot,normal_0_1,4194304,1,7125,95,16231215341945880678,12954745724003956541
dot,normal_0_1,4194304,1,7220,95,15517026949169517356,9086999662402279697
dot,normal_0_1,4194304,1,7315,95,9754221272426788647,74851250166397395
dot,normal_0_1,4194304,1,7410,95,9844812503857611562,12307196065104763005
dot,normal_0_1,4194304,1,7505,95,428571767511110620,742328127818837205
dot,normal_0_1,4194304,1,7600,95,14519128572125738265,10002641511905643225
dot,normal_0_1,4194304,1,7695,95,17563831615019636818,5811436473979907605
dot,normal_0_1,4194304,1,7790,95,2863545169478184549,1549704083434914391
dot,normal_0_1,4194304,1,7885,95,14409835111790034889,16083870223595046473
dot,normal_0_1,4194304,1,7980,95,11681255065892170029,9958970516654646700
dot,normal_0_1,4194304,1,8075,95,10008167594826369878,9285025765821781498
dot,normal_0_1,4194304,1,8170,22,6919707225802854224,16528149026109690634
gemv,uniform_0_1,256,1024,0,1,14935169485367744420,18281123425589669522
gemv,uniform_0_1,256,1024,1,1,2108417112368181800,4024686682703050746
gemv,uniform_0_1,256,1024,2,1,5532560475305989076,393369326306266234
gemv,uniform_0_1,256,1024,3,1,4138585886457102514,10208568727420603252
gemv,uniform_0_1,256,1024,4,1,1218266763600796705,14837701248605402072
gemv,uniform_0_1,256,1024,5,1,10343844918523957396,2409156742700846940
gemv,uniform_0_1,256,1024,6,1,14377347709031385420,2008154155954874933
gemv,uniform_0_1,256,1024,7,1,9273431760472679549,18109952540005540235
gemv,uniform_0_1,256,1024,8,1,232898472286911698,17857071630798863680
gemv,uniform_0_1,256,1024,9,1,9026283200968989008,1523259026432570609
gemv,uniform_0_1,256,1024,10,1,6513025285560518321,17866732973012727139
gemv,uniform_0_1,256,1024,11,1,16758798067908317224,3095705796620526789
gemv,uniform_0_1,256,1024,12,1,16688727859982399471,5440107668871289438
gemv,uniform_0_1,256,1024,13,1,10876526742835640951,1488417212225701948
gemv,uniform_0_1,256,1024,14,1,5192643430981339176,43413937238900328
gemv,uniform_0_1,256,1024,15,1,14085198405398697205,16275961170194163417
gemv,uniform_0_1,1024,1024,0,1,13798570615599585433,11723362411486849955
gemv,uniform_0_1,1024,1024,1,1,15314044650898592636,6067941484524823495
gemv,uniform_0_1,1024,1024,2,1,2348952902673523741,8663567728468562867
gemv,uniform_0_1,1024,1024,3,1,12691118368818502086,7421615939225348450
gemv,uniform_0_1,1024,1024,4,1,11721709621825740199,2188471797337726391
gemv,uniform_0_1,1024,1024,5,1,12668931153096895088,7052936220404471187
gemv,uniform_0_1,1024,1024,6,1,3276219877469064837,5523250626067648213
gemv,uniform_0_1,1024,1024,7,1,14179735541954917815,16231147219225779974
gemv,uniform_0_1,1024,1024,8,1,865825629007222557,17936660977616561401
gemv,uniform_0_1,1024,1024,9,1,5653682503443464267,17231772445932659797
gemv,uniform_0_1,1024,1024,10,1,6083610906914644951,7729610281413973127
gemv,uniform_0_1,1024,1024,11,1,11681826969138707544,14386065263699798526
gemv,uniform_0_1,1024,1024,12,1,3941397081023495193,2420172346866754980
gemv,uniform_0_1,1024,1024,13,1,12921706789590163523,2451132597018744667
gemv,uniform_0_1,1024,1024,14,1,13013908248515243758,16683925727998452121
gemv,uniform_0_1,1024,1024,15,1,4343054017805476752,6093013442845224091
gemv,uniform_0_1,4096,1024,0,1,4002975769365818311,5214243340404734321
gemv,uniform_0_1,4096,1024,1,1,15545315019910510074,11248158438484453795
gemv,uniform_0_1,4096,1024,2,1,17013082333999154659,3368164902969972088
gemv,uniform_0_1,4096,1024,3,1,13942666227729907274,14152810026470679930
gemv,uniform_0_1,4096,1024,4,1,10478542282441923152,15509334437845379972
gemv,uniform_0_1,4096,1024,5,1,5617055340395472387,2444958725764121154
gemv,uniform_0_1,4096,1024,6,1,353393966934322348,3285308622615246007
gemv,uniform_0_1,4096,1024,7,1,237287427256674864,12803883815839140650
gemv,uniform_0_1,4096,1024,8,1,16082246582977627192,3622609656542156624
gemv,uniform_0_1,4096,1024,9,1,1024297658023966329,18362403268756721536
gemv,uniform_0_1,4096,1024,10,1,2529156311235014165,3209087940359895576
gemv,uniform_0_1,4096,1024,11,1,9563459642855209776,15831635158642607216
gemv,uniform_0_1,4096,1024,12,1,8003044628944911248,2740487073517519546
gemv,uniform_0_1,4096,1024,13,1,7784438053505411324,11836761950753427523
gemv,uniform_0_1,4096,1024,14,1,5660065337480361844,14853274664999464577
gemv,uniform_0_1,4096,1024,15,1,10813346689969441337,1210830878974445197
gemv,uniform_0_1,16384,1024,0,1,2815794437020569248,10089370425650908285
gemv,uniform_0_1,16384,1024,1,1,6026319139226477680,8548726738616961307
gemv,uniform_0_1,16384,1024,2,1,15647397798055936508,12748977779210941482
gemv,uniform_0_1,16384,1024,3,1,1588248020796540268,101381399087508738
gemv,uniform_0_1,16384,1024,4,1,3508334567629130003,9204010506726704174
gemv,uniform_0_1,16384,1024,5,1,3791176225938906621,9409269295838174611
gemv,uniform_0_1,16384,1024,6,1,10462736592367569803,18331231332946579245
gemv,uniform_0_1,16384,1024,7,1,9056153267276075758,23784800525320639
gemv,uniform_0_1,16384,1024,8,1,2557506120790850196,953761336584744273
gemv,uniform_0_1,16384,1024,9,1,16843721091076782891,883684264552952828
gemv,uniform_0_1,16384,1024,10,1,10944841168903427203,6605350299710625734
gemv,uniform_0_1,16384,1024,11,1,13579552996780358165,2477875691860246489
gemv,uniform_0_1,16384,1024,12,1,3326317296273557327,1310722326767333240
gemv,uniform_0_1,16384,1024,13,1,13632623370384841214,4093345892675876893
gemv,uniform_0_1,16384,1024,14,1,5875692925976489682,7262561072418931213
gemv,uniform_0_1,16384,1024,15,1,10227018783330564002,17098608602582932618
gemv,uniform_0_1,65536,1024,0,1,17376651139384678828,4556002935563314935
gemv,uniform_0_1,65536,1024,1,1,11331428844830028136,5306727991439811702
gemv,uniform_0_1,65536,1024,2,1,8679878639523068072,13432813858961073847
gemv,uniform_0_1,65536,1024,3,1,2774339398446417216,14180900629293976791
gemv,uniform_0_1,65536,1024,4,1,5428920177832132947,11342530495889840684
gemv,uniform_0_1,65536,1024,5,1,15887472322023566444,9749926269688630076
gemv,uniform_0_1,65536,1024,6,1,11235076248331827374,6252108551738906815
gemv,uniform_0_1,65536,1024,7,1,17730394316893974902,2742043984114820752
gemv,uniform_0_1,65536,1024,8,1,4167561408799234460,8654351792758533004
gemv,uniform_0_1,65536,1024,9,1,15874766549655387376,9167353262035256766
gemv,uniform_0_1,65536,1024,10,1,9284309206826477123,1216576929691534448
gemv,uniform_0_1,65536,1024,11,1,10857930280944012440,3216363871695904702
gemv,uniform_0_1,65536,1024,12,1,14324516690804069105,743436041672246138
gemv,uniform_0_1,65536,1024,13,1,4557845160538243910,7897226107752629958
gemv,uniform_0_1,65536,1024,14,1,8977370097593600256,1380629520449085770
gemv,uniform_0_1,65536,1024,15,1,4622572376175052167,4024353183345809328
gemv,normal_0_1,256,1024,0,1,11074131668036653933,14893974000192523659
gemv,normal_0_1,256,1024,1,1,7238384261501781542,6793439594396208669
gemv,normal_0_1,256,1024,2,1,13024655312842819786,6501849084958741349
gemv,normal_0_1,256,1024,3,1,1077663840221336428,6683132744576186461
gemv,normal_0_1,256,1024,4,1,5350546608591533203,8758551436742681729
gemv,normal_0_1,256,1024,5,1,3513603729656119599,6919995825007309149
gemv,normal_0_1,256,1024,6,1,14140099999376625838,14330424164963576909
gemv,normal_0_1,256,1024,7,1,299411303379847119,12855624447578342239
gemv,normal_0_1,256,1024,8,1,12296741788015399056,12919621884394207667
gemv,normal_0_1,256,1024,9,1,2944550968771359702,8372152177824321772
gemv,normal_0_1,256,1024,10,1,1078183063103993987,4567687051199872069
gemv,normal_0_1,256,1024,11,1,2966026775074823381,770731209314609345
gemv,normal_0_1,256,1024,12,1,15613460126173617417,10134453806246438061
gemv,normal_0_1,256,1024,13,1,14555788372491147013,10789917458041814134
gemv,normal_0_1,256,1024,14,1,16402662679554010851,17372937749687027738
gemv,normal_0_1,256,1024,15,1,1452857757812762565,15426136842942962052
gemv,normal_0_1,1024,1024,0,1,16420074910231740785,13187957742171342443
gemv,normal_0_1,1024,1024,1,1,1581971384664813887,11165555194985619991
gemv,normal_0_1,1024,1024,2,1,11615627808703390119,6465238035615612192
gemv,normal_0_1,1024,1024,3,1,8567894051827471318,6166612040776649739
gemv,normal_0_1,1024,1024,4,1,1464396073097016902,12705008503424352249
gemv,normal_0_1,1024,1024,5,1,18018614171284212530,11133542844107803509
gemv,normal_0_1,1024,1024,6,1,4584632060417348510,12417179489964410264
gemv,normal_0_1,1024,1024,7,1,4618477218554203472,5841617106288781358
gemv,normal_0_1,1024,1024,8,1,10188668092446824416,9277779887637749245
gemv,normal_0_1,1024,1024,9,1,10567092887870071538,4077561973593998511
gemv,normal_0_1,1024,1024,10,1,18118393858065761042,6988293109998426994
gemv,normal_0_1,1024,1024,11,1,16355585678480518974,12729865578371684367
gemv,normal_0_1,1024,1024,12,1,6387888588300521606,13892882965136814293
gemv,normal_0_1,1024,1024,13,1,5471203313118048979,12081390654275404907
gemv,normal_0_1,1024,1024,14,1,18155009725627097904,9152811532282086754
gemv,normal_0_1,1024,1024,15,1,8254665798326281246,302300500028267275
gemv,normal_0_1,4096,1024,0,1,6939087984598842320,4472117765279783546
gemv,normal_0_1,4096,1024,1,1,10894565467393412880,2215410037610417787
gemv,normal_0_1,4096,1024,2,1,3450242619380297360,1584706114524010666
gemv,normal_0_1,4096,1024,3,1,8102493555973896097,4314458546313746945
gemv,normal_0_1,4096,1024,4,1,13589181326595363524,1758378976944141185
gemv,normal_0_1,4096,1024,5,1,13745490925700594951,9475392369655113858
gemv,normal_0_1,4096,1024,6,1,3725890432850543778,18207839732041826225
gemv,normal_0_1,4096,1024,7,1,4274551937425764336,11178641327195208467
gemv,normal_0_1,4096,1024,8,1,16855484070826207333,18358689410449278876
gemv,normal_0_1,4096,1024,9,1,756107708532140410,18049414629028715416
gemv,normal_0_1,4096,1024,10,1,6373057550544488783,11627498451858704648
gemv,normal_0_1,4096,1024,11,1,12310290649705112261,9373946324598431472
gemv,normal_0_1,4096,1024,12,1,6232965900244847960,4075332556156255686
gemv,normal_0_1,4096,1024,13,1,387331044566263011,15291656086419072904
gemv,normal_0_1,4096,1024,14,1,10558037747238510135,8325869824265103639
gemv,normal_0_1,4096,1024,15,1,269219695402957722,14383094526891853825
gemv,normal_0_1,16384,1024,0,1,12411175564910859631,4515707424798203663
gemv,normal_0_1,16384,1024,1,1,8883667094707649148,884646094408862406
gemv,normal_0_1,16384,1024,2,1,13577562067541865013,8695483595150731234
gemv,normal_0_1,16384,1024,3,1,12249314568488699923,12083731497942991099
gemv,normal_0_1,16384,1024,4,1,16160215928988400846,4680598863429436255
gemv,normal_0_1,16384,1024,5,1,14859248147224316679,5401030452722654165
gemv,normal_0_1,16384,1024,6,1,1745157669607498796,10496126442172248975
gemv,normal_0_1,16384,1024,7,1,17693906097013550200,12188632432051948557
gemv,normal_0_1,16384,1024,8,1,13343402343100558339,16761531549775429876
gemv,normal_0_1,16384,1024,9,1,8470709415123914773,14398348172040419664
gemv,normal_0_1,16384,1024,10,1,15532778472675120044,15025165049917068389
gemv,normal_0_1,16384,1024,11,1,6369453139997673860,3749961901877908597
gemv,normal_0_1,16384,1024,12,1,9088860868692284518,15471614623868310054
gemv,normal_0_1,16384,1024,13,1,1965830369457734580,1214136465102984820
gemv,normal_0_1,16384,1024,14,1,2971270763744768573,14173083576858780159
gemv,normal_0_1,16384,1024,15,1,2372550912699009328,16504975710420384718
gemv,normal_0_1,65536,1024,0,1,15925379228480178278,15313438848324305032
gemv,normal_0_1,65536,1024,1,1,4136752462073135680,3682682743977658365
gemv,normal_0_1,65536,1024,2,1,5749592956016163963,11237211929984508082
gemv,normal_0_1,65536,1024,3,1,11740886347680435745,1232537488870768230
gemv,normal_0_1,65536,1024,4,1,12171017105493662085,9664820573132750825
gemv,normal_0_1,65536,1024,5,1,16878832441425097933,14304602978275984161
gemv,normal_0_1,65536,1024,6,1,300099636941985464,7287937900317422713
gemv,normal_0_1,65536,1024,7,1,7193258020516315486,16531124881259084201
gemv,normal_0_1,65536,1024,8,1,4117816353996645901,8052809010475110276
gemv,normal_0_1,65536,1024,9,1,9174611324456154581,5102179041776197826
gemv,normal_0_1,65536,1024,10,1,18174866520047593338,12990295810445359047
gemv,normal_0_1,65536,1024,11,1,11382727754492648165,16364132144425818658
gemv,normal_0_1,65536,1024,12,1,2238034401590554800,8569146129176874895
gemv,normal_0_1,65536,1024,13,1,14605756482403233142,195761172565436513
gemv,normal_0_1,65536,1024,14,1,1462679762630673321,4524197406181319537
gemv,normal_0_1,65536,1024,15,1,11215137311409831596,8888661895737938249
