format,storage_bits,exponent_bits,fraction_bits,semantics,exact_fp32_intermediate,subnormal_fraction_uniform,subnormal_fraction_normal,exact_full_lut_bytes,subnormal_lut_bytes,core_load_widths,p0_strategies,p1_strategies,p2_strategies
e2m13,16,2,13,IEEE-like,yes,1,0.6826894921,262144,32768,x1|x2|x4|x8,REF|WORD-BR|WORD-MASK|FP32-BITS|SLUT-G|SLUT-S-DOT,FULL-L2|PREFIX-LUT,CONST-PREFIX
e3m12,16,3,12,IEEE-like,yes,0.25,0.1974126514,262144,16384,x1|x2|x4|x8,REF|WORD-BR|WORD-MASK|FP32-BITS|SLUT-G|SLUT-S-DOT,FULL-L2|PREFIX-LUT,CONST-PREFIX
e4m11,16,4,11,IEEE-like,yes,0.015625,0.012466439,262144,8192,x1|x2|x4|x8,WORD-BR|WORD-MASK|FP32-BITS|SLUT-G|SLUT-S|PREFIX-LUT,FULL-L2,NONE
fp16_e5m10,16,5,10,IEEE binary16 native,yes,0.00006103515625,0.00004869900881,262144,4096,x1|x2|x4|x8,NATIVE-F32|NATIVE-H2|WORD|FP32-BITS,NATIVE-DIRECT|SLUT-S-DOT|FULL-L2,PREFIX-LUT
e6m9,16,6,9,IEEE-like,yes,9.313225746e-10,7.430e-10,262144,2048,x1|x2|x4|x8,WORD-BR|WORD-MASK|FP32-BITS|SLUT-G|SLUT-S|PREFIX-LUT,FULL-L2,NONE
e7m8,16,7,8,IEEE-like,yes,2.168404345e-19,1.730e-19,262144,1024,x1|x2|x4|x8,WORD-BR|WORD-MASK|FP32-BITS|SLUT-G|SLUT-S|PREFIX-LUT,FULL-L2,NONE
bf16_e8m7,16,8,7,bfloat16 native,yes,1.175494351e-38,9.379087938e-39,262144,512,x1|x2|x4|x8,NATIVE-F32|NATIVE-B2|FP32-BITS|WORD,NATIVE-DIRECT|FULL-L2|SLUT-S-DOT,PREFIX-LUT
e9m6,16,9,6,IEEE-like,no,3.454467422e-77,2.756e-77,262144,256,x1|x2|x4|x8,WORD-BR|WORD-MASK|SLUT-G|SLUT-S|PREFIX-LUT,FULL-L2,NONE
e10m5,16,10,5,IEEE-like,no,2.983336292e-154,2.380e-154,262144,128,x1|x2|x4|x8,WORD-BR|WORD-MASK|SLUT-G|SLUT-S|PREFIX-LUT,FULL-L2,NONE
e11m4,16,11,4,FP64 prefix,no,2.225073859e-308,1.775352078e-308,262144,64,x1|x2|x4|x8,PREFIX-WORD|REF,FULL-L2,NONE
e0m31,32,0,31,signed fixed point,no,0,0,34359738368,0,x1|x2|x4|x8,FIXED-CVT|WORD,NONE,NONE
e1m30,32,1,30,finite E1 fixed-point-like,no,1,0.9544997361,34359738368,8589934592,x1|x2|x4,E1-CVT|WORD|REF,PREFIX-LUT|x8,NONE
e2m29,32,2,29,IEEE-like,no,1,0.6826894921,34359738368,4294967296,x1|x2|x4,WORD-BR|WORD-MASK|REF,PREFIX-LUT|x8,NONE
e3m28,32,3,28,IEEE-like,no,0.25,0.1974126514,34359738368,2147483648,x1|x2|x4,WORD-BR|WORD-MASK|REF,PREFIX-LUT|x8,NONE
e4m27,32,4,27,IEEE-like,no,0.015625,0.012466439,34359738368,1073741824,x1|x2|x4|x8,WORD-BR|WORD-MASK|PREFIX-LUT,NONE,NONE
e5m26,32,5,26,IEEE-like,no,0.00006103515625,0.00004869900881,34359738368,536870912,x1|x2|x4|x8,WORD-BR|WORD-MASK|PREFIX-LUT,NONE,NONE
e6m25,32,6,25,IEEE-like,no,9.313225746e-10,7.430e-10,34359738368,268435456,x1|x2|x4|x8,WORD-BR|WORD-MASK|PREFIX-LUT,NONE,NONE
e7m24,32,7,24,IEEE-like,no,2.168404345e-19,1.730e-19,34359738368,134217728,x1|x2|x4|x8,WORD-BR|WORD-MASK|PREFIX-LUT,NONE,NONE
fp32_e8m23,32,8,23,IEEE binary32 native,yes,1.175494351e-38,9.379087938e-39,34359738368,67108864,x1|x2|x4,NATIVE-F64|WORD|REF,NATIVE-VEC|x8,PREFIX-LUT
e9m22,32,9,22,IEEE-like,no,3.454467422e-77,2.756e-77,34359738368,33554432,x1|x2|x4|x8,WORD-BR|WORD-MASK|PREFIX-LUT,NONE,NONE
e10m21,32,10,21,IEEE-like,no,2.983336292e-154,2.380e-154,34359738368,16777216,x1|x2|x4|x8,WORD-BR|WORD-MASK|PREFIX-LUT,NONE,NONE
e11m20,32,11,20,FP64 prefix,no,2.225073859e-308,1.775352078e-308,17179869184,4194304,x1|x2|x4,PREFIX-WORD|REF,x8,NONE
fp64_e11m52,64,11,52,IEEE binary64 baseline,no,2.225073859e-308,1.775352078e-308,NA,NA,x1|x2|x4,RAW-F64,NONE,NONE
